X,Y,OBJECTID,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3
69.3451,30.3753,134,Pakistan,2021/10/21 12:21:18+00,30.3753,69.3451,1266826,28328,0,0,573.5038398,,,2.23613977,586,PAK
134.5825,7.515,135,Palau,2021/10/21 12:21:18+00,7.515,134.5825,8,0,0,0,44.42470013,,,0,585,PLW
-80.7821,8.538,136,Panama,2021/10/21 12:21:18+00,8.538,-80.7821,470855,7300,0,0,10912.63771,,,1.550371133,591,PAN
143.95555,-6.314993,137,Papua New Guinea,2021/10/21 12:21:18+00,-6.314993,143.95555,25769,312,0,0,288.017461,,,1.210757111,598,PNG
-58.4438,-23.4425,138,Paraguay,2021/10/21 12:21:18+00,-23.4425,-58.4438,460615,16228,0,0,6457.9469,,,3.523115834,600,PRY
-75.0152,-9.19,139,Peru,2021/10/21 12:21:18+00,-9.19,-75.0152,2192205,199945,0,0,6648.717818,,,9.12072548,604,PER
121.774017,12.879721,140,Philippines,2021/10/21 12:21:18+00,12.879721,121.774017,2735369,40977,0,0,2496.205435,,,1.49804286,608,PHL
19.1451,51.9194,141,Poland,2021/10/21 12:21:18+00,51.9194,19.1451,2956207,76300,0,0,7811.022944,,,2.581010058,616,POL
-8.2245,39.3999,142,Portugal,2021/10/21 12:21:18+00,39.3999,-8.2245,1081856,18109,0,0,10609.85669,,,1.673882661,620,PRT
51.1839,25.3548,143,Qatar,2021/10/21 12:21:18+00,25.3548,51.1839,238165,608,0,0,8266.575497,,,0.255285201,634,QAT
24.9668,45.9432,144,Romania,2021/10/21 12:21:18+00,45.9432,24.9668,1519532,43487,0,0,7898.727092,,,2.861867996,642,ROU
105.3188,61.524,145,Russia,2021/10/21 12:21:18+00,61.524,105.3188,8005376,223331,0,0,5485.596754,,,2.789762779,643,RUS
29.8739,-1.9403,146,Rwanda,2021/10/21 12:21:18+00,-1.9403,29.8739,99252,1314,0,0,766.2939966,,,1.323902793,646,RWA
-62.782998,17.357822,147,Saint Kitts and Nevis,2021/10/21 12:21:18+00,17.357822,-62.782998,2591,21,0,0,4871.033238,,,0.810497877,659,KNA
-60.9789,13.9094,148,Saint Lucia,2021/10/21 12:21:18+00,13.9094,-60.9789,12313,237,0,0,6705.367889,,,1.924794932,662,LCA
-61.2872,12.9843,149,Saint Vincent and the Grenadines,2021/10/21 12:21:18+00,12.9843,-61.2872,4729,56,0,0,4262.395558,,,1.184182702,670,VCT
-172.1046,-13.759,150,Samoa,2021/10/21 12:21:18+00,-13.759,-172.1046,3,0,0,0,1.529597716,,,0,882,WSM
12.4578,43.9424,151,San Marino,2021/10/21 12:21:18+00,43.9424,12.4578,5481,91,0,0,16150.03831,,,1.660280971,674,SMR
6.6131,0.1864,152,Sao Tome and Principe,2021/10/21 12:21:18+00,0.1864,6.6131,3687,56,0,0,1682.324866,,,1.518850014,678,STP
45.079162,23.885942,153,Saudi Arabia,2021/10/21 12:21:18+00,23.885942,45.079162,548065,8770,0,0,1574.272114,,,1.600175162,682,SAU
-14.4524,14.4974,154,Senegal,2021/10/21 12:21:18+00,14.4974,-14.4524,73876,1876,0,0,441.2106357,,,2.53939033,686,SEN
21.0059,44.0165,155,Serbia,2021/10/21 12:21:18+00,44.0165,21.0059,1070705,9272,0,0,12254.3168,,,0.865971486,688,SRB
55.492,-4.6796,156,Seychelles,2021/10/21 12:21:18+00,-4.6796,55.492,22039,119,0,0,22411.02298,,,0.539951903,690,SYC
-11.779889,8.460555,157,Sierra Leone,2021/10/21 12:21:18+00,8.460555,-11.779889,6397,121,0,0,80.19320583,,,1.891511646,694,SLE
103.8333,1.2833,158,Singapore,2021/10/21 12:21:18+00,1.2833,103.8333,158587,264,0,0,2710.729952,,,0.166470139,702,SGP
19.699,48.669,159,Slovakia,2021/10/21 12:21:18+00,48.669,19.699,446305,12883,0,0,8174.618743,,,2.886591008,703,SVK
14.9955,46.1512,160,Slovenia,2021/10/21 12:21:18+00,46.1512,14.9955,314162,4661,0,0,15111.70159,,,1.483629465,705,SVN
160.1562,-9.6457,161,Solomon Islands,2021/10/21 12:21:18+00,-9.6457,160.1562,20,0,0,0,3.063453308,,,0,90,SLB
46.199616,5.152149,162,Somalia,2021/10/21 12:21:18+00,5.152149,46.199616,21269,1180,0,0,133.8243687,,,5.547980629,706,SOM
